1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,0
A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,A,A,A,0
A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,A,A,A,1
A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,A,A,B,0
A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,B,A,A,0
A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,B,B,A,A,A,A,0
A,A,A,A,A,A,C,A,B,A,A,A,A,A,B,A,B,A,A,A,A,0
A,A,A,A,A,A,C,A,B,A,A,A,A,B,A,A,B,A,A,A,A,0
A,A,A,A,A,A,C,A,B,B,A,B,A,A,A,A,B,A,B,A,A,0
A,A,A,A,A,A,D,A,A,A,D,A,A,A,B,A,A,A,A,A,A,1
A,A,A,A,A,A,D,A,A,A,D,A,A,A,B,A,B,A,A,A,B,0
A,A,A,A,A,B,B,D,B,B,A,B,A,A,A,A,B,A,B,A,B,0
A,A,A,A,A,B,C,A,B,B,A,B,A,A,A,A,B,A,B,A,A,0
A,A,A,A,A,B,C,A,B,B,A,B,A,A,A,A,B,A,B,A,A,1
A,A,A,A,A,B,C,A,B,B,A,B,A,A,A,A,B,A,B,A,B,0
A,A,A,A,A,B,C,A,B,B,A,B,A,A,B,A,B,A,B,A,A,0
A,B,A,A,A,B,C,A,B,B,A,B,A,A,A,A,B,A,B,A,C,0
B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,A,A,A,0
B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,A,A,A,1
B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,A,A,B,0
B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,B,A,A,0
B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,B,A,B,A,B,0
