@relation 'PC1_fix-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 14 {A,B,C,D}
@attribute 3 {A,B,D,C}
@attribute 15 {A,B,C,D}
@attribute 9 {A,B,C,D}
@attribute 16 {A,B,C,D}
@attribute 1 {A,B,C,D}
@attribute 18 {A,B,C,D}
@attribute 13 {A,B,C,D}
@attribute 19 {A,B,C,D}
@attribute 6 {A,B,C,D}
@attribute 17 {A,B,C,D}
@attribute 11 {A,D,B,C}
@attribute 10 {A,B,C,D}
@attribute 12 {A,B,C,D}
@attribute 4 {A,B,C,D}
@attribute 5 {A,B,C,D}
@attribute 20 {A,B,C,D}
@attribute 2 {A,B,C,D}
@attribute 8 {A,D,C,B}
@attribute 7 {A,C,D,B}
@attribute 21 {A,B,C,D}
@attribute class {FALSE,TRUE}

@data
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,FALSE
A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,C,A,FALSE
A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,C,A,TRUE
A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,C,B,FALSE
A,A,A,B,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,C,A,FALSE
A,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,C,A,FALSE
A,A,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,C,A,FALSE
B,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,C,A,FALSE
A,A,A,B,A,A,A,A,B,A,B,A,B,B,A,A,A,A,A,C,A,FALSE
A,A,B,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,D,A,TRUE
A,A,B,A,A,A,A,A,A,A,B,D,A,A,A,A,A,A,A,D,B,FALSE
A,A,A,B,A,A,A,A,B,B,B,A,B,B,A,A,A,A,D,B,B,FALSE
A,A,A,B,A,A,A,A,B,B,B,A,B,B,A,A,A,A,A,C,A,FALSE
A,A,A,B,A,A,A,A,B,B,B,A,B,B,A,A,A,A,A,C,A,TRUE
A,A,A,B,A,A,A,A,B,B,B,A,B,B,A,A,A,A,A,C,B,FALSE
A,A,B,B,A,A,A,A,B,B,B,A,B,B,A,A,A,A,A,C,A,FALSE
A,A,A,B,A,A,A,A,B,B,B,A,B,B,A,A,A,B,A,C,C,FALSE
A,A,A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,C,A,FALSE
A,A,A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,C,A,TRUE
A,A,A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,C,B,FALSE
A,A,A,B,A,B,A,A,B,A,B,A,A,A,A,A,A,A,A,C,A,FALSE
A,A,A,B,A,B,A,A,B,A,B,A,A,A,A,A,A,A,A,C,B,FALSE
A,A,A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,C,A,FALSE
A,A,A,B,B,B,A,A,B,A,B,A,A,A,A,A,A,A,A,C,A,FALSE
A,A,A,B,B,B,A,A,B,A,B,A,A,A,A,A,A,A,A,C,B,FALSE
A,A,A,B,A,B,A,A,A,A,B,A,B,B,A,A,A,A,A,C,A,FALSE
A,A,A,B,A,B,A,A,B,A,B,A,B,B,A,A,A,A,A,C,A,FALSE
A,A,B,B,A,B,A,A,B,A,B,A,B,B,A,A,A,A,A,C,B,FALSE
A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,FALSE
A,A,A,B,A,B,A,A,B,B,B,A,B,B,A,A,A,A,C,B,B,FALSE
A,A,A,B,B,B,A,B,B,B,B,A,B,B,A,A,A,A,C,B,B,FALSE
B,A,A,B,C,B,A,C,B,B,B,B,B,B,A,A,B,A,C,B,A,FALSE
A,A,A,B,A,B,A,A,B,B,B,A,B,B,A,A,A,A,D,B,B,FALSE
A,A,A,B,A,B,A,B,B,B,B,A,B,B,A,A,A,A,D,B,A,FALSE
A,A,A,B,A,B,A,B,B,B,B,A,B,B,A,A,A,A,D,B,B,FALSE
A,A,A,B,A,B,A,A,B,B,B,A,A,A,A,A,A,A,A,C,A,FALSE
A,A,A,B,A,B,A,A,B,B,B,A,B,B,A,A,A,A,A,C,A,FALSE
A,A,A,B,A,B,A,A,B,B,B,A,B,B,A,A,A,A,A,C,B,FALSE
A,A,A,B,A,B,B,A,B,B,B,A,B,B,A,A,B,A,A,C,B,FALSE
A,A,A,B,B,B,A,A,B,B,B,A,B,B,A,A,A,A,A,C,A,FALSE
