@relation 'PC1_fix-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 14 {A,B,C,D}
@attribute 15 {A,B,C,D}
@attribute 3 {A,B,D,C}
@attribute 4 {A,B,C,D}
@attribute 2 {A,B,C,D}
@attribute 7 {A,C,D,B}
@attribute 6 {A,B,C,D}
@attribute 21 {A,B,C,D}
@attribute 5 {A,B,C,D}
@attribute 9 {A,B,C,D}
@attribute 8 {A,D,C,B}
@attribute 11 {A,D,B,C}
@attribute 10 {A,B,C,D}
@attribute 17 {A,B,C,D}
@attribute 19 {A,B,C,D}
@attribute 18 {A,B,C,D}
@attribute 16 {A,B,C,D}
@attribute 20 {A,B,C,D}
@attribute 13 {A,B,C,D}
@attribute 12 {A,B,C,D}
@attribute 1 {A,B,C,D}
@attribute class {FALSE,TRUE}

@data
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,C,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,C,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,TRUE
A,A,A,A,A,C,A,B,A,B,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,C,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,FALSE
A,A,A,A,A,C,A,A,A,B,A,A,A,B,A,A,B,A,A,A,A,FALSE
A,B,A,A,A,C,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,FALSE
B,A,A,A,A,C,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,C,A,A,A,B,A,A,B,B,B,A,A,A,A,B,A,FALSE
A,B,A,A,A,D,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,TRUE
A,B,A,A,A,D,A,B,A,A,A,D,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,B,B,B,A,B,D,A,B,B,B,A,A,A,A,B,A,FALSE
A,A,A,A,A,C,B,A,A,B,A,A,B,B,B,A,A,A,A,B,A,FALSE
A,A,A,A,A,C,B,A,A,B,A,A,B,B,B,A,A,A,A,B,A,TRUE
A,A,A,A,A,C,B,B,A,B,A,A,B,B,B,A,A,A,A,B,A,FALSE
A,B,A,A,A,C,B,A,A,B,A,A,B,B,B,A,A,A,A,B,A,FALSE
A,A,A,A,B,C,B,C,A,B,A,A,B,B,B,A,A,A,A,B,A,FALSE
A,A,A,A,A,C,A,A,A,B,A,A,A,B,A,A,A,A,A,A,B,FALSE
A,A,A,A,A,C,A,A,A,B,A,A,A,B,A,A,A,A,A,A,B,TRUE
A,A,A,A,A,C,A,B,A,B,A,A,A,B,A,A,A,A,A,A,B,FALSE
A,A,A,A,A,C,A,A,A,B,A,A,A,B,B,A,A,A,A,A,B,FALSE
A,A,A,A,A,C,A,B,A,B,A,A,A,B,B,A,A,A,A,A,B,FALSE
A,A,A,A,A,C,A,A,A,B,A,A,A,B,A,A,B,A,A,A,B,FALSE
A,A,A,A,A,C,A,A,A,B,A,A,A,B,B,A,B,A,A,A,B,FALSE
A,A,A,A,A,C,A,B,A,B,A,A,A,B,B,A,B,A,A,A,B,FALSE
A,A,A,A,A,C,A,A,A,B,A,A,B,B,A,A,A,A,A,B,B,FALSE
A,A,A,A,A,C,A,A,A,B,A,A,B,B,B,A,A,A,A,B,B,FALSE
A,B,A,A,A,C,A,B,A,B,A,A,B,B,B,A,A,A,A,B,B,FALSE
A,A,A,A,A,D,A,A,A,B,A,A,A,A,A,A,A,A,A,A,B,FALSE
A,A,A,A,A,B,B,B,A,B,C,A,B,B,B,A,A,A,A,B,B,FALSE
A,A,A,A,A,B,B,B,A,B,C,A,B,B,B,A,B,A,B,B,B,FALSE
B,A,A,A,A,B,B,A,A,B,C,B,B,B,B,A,C,B,C,B,B,FALSE
A,A,A,A,A,B,B,B,A,B,D,A,B,B,B,A,A,A,A,B,B,FALSE
A,A,A,A,A,B,B,A,A,B,D,A,B,B,B,A,A,A,B,B,B,FALSE
A,A,A,A,A,B,B,B,A,B,D,A,B,B,B,A,A,A,B,B,B,FALSE
A,A,A,A,A,C,B,A,A,B,A,A,A,B,B,A,A,A,A,A,B,FALSE
A,A,A,A,A,C,B,A,A,B,A,A,B,B,B,A,A,A,A,B,B,FALSE
A,A,A,A,A,C,B,B,A,B,A,A,B,B,B,A,A,A,A,B,B,FALSE
A,A,A,A,A,C,B,B,A,B,A,A,B,B,B,B,A,B,A,B,B,FALSE
A,A,A,A,A,C,B,A,A,B,A,A,B,B,B,A,B,A,A,B,B,FALSE
A,A,A,A,A,C,B,B,A,B,A,A,B,B,B,A,B,A,A,B,B,FALSE
A,A,A,A,A,C,B,B,A,B,A,A,B,B,B,A,C,A,A,B,B,FALSE
A,A,A,A,A,C,B,A,A,B,A,A,B,B,B,B,C,A,A,B,B,TRUE
A,B,A,A,A,C,B,A,A,B,A,A,B,B,B,A,A,A,A,B,B,FALSE
A,B,A,A,A,C,B,B,A,B,A,A,B,B,B,A,A,A,A,B,B,FALSE
A,B,A,A,A,C,B,A,A,B,A,A,B,B,B,A,B,A,A,B,B,FALSE
A,B,A,A,A,C,B,B,A,B,A,A,B,B,B,A,B,A,A,B,B,FALSE
B,A,A,A,A,C,B,A,A,B,A,A,B,B,B,A,A,A,A,B,B,FALSE
B,A,A,A,A,C,B,A,A,B,A,A,B,B,B,A,B,A,A,B,B,FALSE
B,A,A,A,A,C,B,A,A,B,A,A,B,B,B,A,C,A,A,B,B,FALSE
