@relation 'PC1_fix-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -W -M -1 -D 1 -K 10 -A 2-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 16 {A,B,C,D}
@attribute 18 {A,B,C,D}
@attribute 9 {A,B,C,D}
@attribute 21 {A,B,C,D}
@attribute 1 {A,B,C,D}
@attribute 14 {A,B,C,D}
@attribute 15 {A,B,C,D}
@attribute 2 {A,B,C,D}
@attribute 13 {A,B,C,D}
@attribute 8 {A,D,C,B}
@attribute 7 {A,C,D,B}
@attribute 4 {A,B,C,D}
@attribute 17 {A,B,C,D}
@attribute 11 {A,D,B,C}
@attribute 10 {A,B,C,D}
@attribute 12 {A,B,C,D}
@attribute 20 {A,B,C,D}
@attribute 5 {A,B,C,D}
@attribute 6 {A,B,C,D}
@attribute 19 {A,B,C,D}
@attribute 3 {A,B,D,C}
@attribute class {FALSE,TRUE}

@data
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,FALSE
A,A,B,A,A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,A,FALSE
A,A,B,A,A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,A,TRUE
A,A,B,B,A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,A,FALSE
A,A,B,A,A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,B,A,FALSE
B,A,B,A,A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,A,FALSE
A,A,B,A,A,A,B,A,A,A,C,A,B,A,A,A,A,A,A,A,A,FALSE
A,A,B,A,A,B,A,A,A,A,C,A,B,A,A,A,A,A,A,A,A,FALSE
A,A,B,A,A,A,A,A,A,A,C,A,B,A,B,B,A,A,A,B,A,FALSE
A,A,A,A,A,A,B,A,A,A,D,A,A,D,A,A,A,A,A,A,A,TRUE
A,A,A,B,A,A,B,A,A,A,D,A,B,D,A,A,A,A,A,A,A,FALSE
A,A,B,B,A,A,A,A,A,D,B,A,B,A,B,B,A,A,B,B,A,FALSE
A,A,B,A,A,A,A,A,A,A,C,A,B,A,B,B,A,A,B,B,A,FALSE
A,A,B,A,A,A,A,A,A,A,C,A,B,A,B,B,A,A,B,B,A,TRUE
A,A,B,B,A,A,A,A,A,A,C,A,B,A,B,B,A,A,B,B,A,FALSE
A,A,B,A,A,A,B,A,A,A,C,A,B,A,B,B,A,A,B,B,A,FALSE
A,A,B,C,A,A,A,B,A,A,C,A,B,A,B,B,A,A,B,B,A,FALSE
A,A,B,A,B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,A,FALSE
A,A,B,A,B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,A,TRUE
A,A,B,B,B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,A,FALSE
A,A,B,A,B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,B,A,FALSE
A,A,B,B,B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,B,A,FALSE
B,A,B,A,B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,A,A,FALSE
B,A,B,A,B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,B,A,FALSE
B,A,B,B,B,A,A,A,A,A,C,A,B,A,A,A,A,A,A,B,A,FALSE
A,A,B,A,B,A,A,A,A,A,C,A,B,A,B,B,A,A,A,A,A,FALSE
A,A,B,A,B,A,A,A,A,A,C,A,B,A,B,B,A,A,A,B,A,FALSE
A,A,B,B,B,A,B,A,A,A,C,A,B,A,B,B,A,A,A,B,A,FALSE
A,A,B,A,B,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,FALSE
